Month,Paid Orders,Total,Subtotal,Shipping,Taxes,AOV Total,AOV Subtotal,Pickup Orders,Delivery Orders
2015-05,14,1246.00,1011.00,159.00,76.00,89.00,72.21,1,13
2015-06,15,1236.75,965.00,180.00,91.75,82.45,64.33,1,14
2015-07,27,2332.92,1840.00,318.00,174.92,86.40,68.15,1,26
2015-08,20,1623.09,1263.00,240.00,120.09,81.15,63.15,1,19
2015-09,29,2517.93,2004.50,330.00,183.43,86.83,69.12,2,27
2015-10,39,3516.02,2761.50,492.00,262.52,90.15,70.81,1,38
2015-11,18,1519.36,1199.50,212.00,107.86,84.41,66.64,0,18
2015-12,29,2678.05,2115.00,362.00,201.05,92.35,72.93,1,28
2016-01,23,2017.91,1590.00,282.00,145.91,87.74,69.13,0,23
2016-02,58,5047.60,4060.00,628.00,383.60,87.03,70.00,10,48
2016-03,32,2617.74,2036.00,392.00,189.74,81.80,63.62,1,31
2016-04,37,2995.81,2328.50,446.00,221.31,80.97,62.93,3,34
2016-05,54,4730.88,3745.00,630.00,355.88,87.61,69.35,3,51
2016-06,25,2235.76,1755.00,314.00,166.76,89.43,70.20,1,24
2016-07,20,1745.73,1368.00,252.00,125.73,87.29,68.40,0,20
2016-08,17,1578.75,1266.00,210.00,102.75,92.87,74.47,0,17
2016-09,27,2427.58,1926.50,318.00,183.08,89.91,71.35,1,26
2016-10,30,2975.33,2386.50,362.00,226.83,99.18,79.55,2,28
2016-11,32,2967.58,2326.50,420.00,221.08,92.74,72.70,1,31
2016-12,17,1486.37,1175.00,204.00,107.37,87.43,69.12,1,16
2017-01,33,3166.77,2523.00,404.00,239.77,95.96,76.45,2,31
2017-02,58,5633.17,4505.00,700.00,428.17,97.12,77.67,4,54
2017-03,33,2970.39,2334.50,414.00,221.89,90.01,70.74,2,31
2017-04,18,1434.59,1100.00,230.00,104.59,79.70,61.11,1,17
2017-05,66,6169.28,4974.50,722.00,472.78,93.47,75.37,8,58
2017-06,19,1864.10,1510.00,222.00,132.10,98.11,79.47,1,18
2017-07,18,1698.21,1370.00,198.00,130.21,94.35,76.11,2,16
2017-08,23,2037.66,1585.00,302.00,150.66,88.59,68.91,0,23
2017-09,28,2518.84,1955.00,378.00,185.84,89.96,69.82,0,28
2017-10,23,2061.47,1625.00,282.00,154.47,89.63,70.65,1,22
2017-11,39,3884.48,3270.00,384.00,230.48,99.60,83.85,1,38
2017-12,23,2178.76,1846.50,200.00,132.26,94.73,80.28,3,20
2018-01,25,2472.79,1955.00,332.00,185.79,98.91,78.20,0,25
2018-02,55,5320.69,4280.00,634.00,406.69,96.74,77.82,9,46
2018-03,28,2713.26,2248.00,284.00,181.26,96.90,80.29,3,25
2018-04,33,3060.78,2650.00,264.00,146.78,92.75,80.30,1,32
2018-05,77,7498.07,6242.00,764.00,584.32,97.38,81.06,17,60
2018-06,28,2625.71,2096.50,330.00,199.21,93.78,74.88,3,25
2018-07,25,2423.63,1940.00,305.00,178.63,96.95,77.60,3,22
2018-08,29,2966.20,2396.50,342.00,227.70,102.28,82.64,2,27
2018-09,29,3020.86,2430.00,360.00,230.86,104.17,83.79,0,29
2018-10,35,3690.03,3060.00,402.00,256.53,105.43,87.43,1,32
2018-11,29,3308.63,2875.00,294.00,207.13,114.09,99.14,2,23
2018-12,25,2524.91,2010.00,332.00,182.91,101.00,80.40,0,25
2019-01,35,3559.87,2851.00,438.00,270.87,101.71,81.46,1,34
2019-02,61,6041.04,4931.50,641.00,468.54,99.03,80.84,15,46
2019-03,29,2863.78,2313.00,331.00,219.78,98.75,79.76,4,25
2019-04,35,3329.81,2661.00,416.00,252.81,95.14,76.03,1,34
2019-05,102,9641.59,7905.50,1000.00,744.59,94.53,77.50,22,80
2019-06,35,3812.77,3113.00,404.00,295.77,108.94,88.94,4,31
2019-07,32,3250.77,2611.50,386.00,253.27,101.59,81.61,1,31
2019-08,37,3808.12,3076.00,438.00,294.12,102.92,83.14,2,35
2019-09,32,3019.81,2418.00,366.00,235.81,94.37,75.56,2,30
2019-10,43,4215.32,3336.00,554.00,325.32,98.03,77.58,0,43
2019-11,39,3982.61,3200.50,470.00,312.11,102.12,82.06,2,37
2019-12,29,2789.39,2219.00,354.00,216.39,96.19,76.52,1,28
2020-01,37,3589.34,2869.50,440.00,279.84,97.01,77.55,3,34
2020-02,96,9819.95,8074.50,958.00,787.45,102.29,84.11,20,76
2020-03,63,5185.44,4127.00,800.00,402.44,82.31,65.51,1,62
2020-04,82,7521.64,5959.50,1017.00,581.14,91.73,72.68,5,77
2020-05,325,30828.13,25227.00,3141.00,2460.13,94.86,77.62,77,248
2020-06,93,7508.15,5980.00,945.00,583.15,80.73,64.30,20,73
2020-07,90,8122.37,6466.50,993.00,662.87,90.25,71.85,12,78
2020-08,109,9638.57,7706.50,1142.00,790.07,88.43,70.70,17,92
2020-09,123,11379.32,9055.00,1396.00,928.32,92.51,73.62,13,110
2020-10,132,11545.69,9083.50,1531.00,931.19,87.47,68.81,12,120
2020-11,109,9553.64,7517.00,1266.00,770.64,87.65,68.96,10,99
2020-12,133,12738.61,10241.50,1447.00,1050.11,95.78,77.00,18,115
2021-01,169,15681.02,12346.00,2069.00,1266.02,92.79,73.05,10,159
2021-02,217,20861.50,16526.00,2678.00,1691.10,96.14,76.16,13,204
2021-03,152,13916.75,10988.00,1802.00,1126.75,91.56,72.29,10,142
2021-04,171,16926.08,13560.00,2056.00,1310.08,98.98,79.30,15,156
2021-05,166,18618.49,15199.50,2013.00,1405.99,112.16,91.56,14,152
2021-06,84,8456.05,6849.50,973.00,633.55,100.67,81.54,12,72
2021-07,102,9052.07,7109.50,1256.00,686.57,88.75,69.70,12,90
2021-08,129,12124.91,9530.50,1665.00,929.41,93.99,73.88,8,121
2021-09,143,14672.73,11748.50,1661.00,1263.23,102.61,82.16,16,127
2021-10,53,5984.06,4776.50,694.00,513.56,112.91,90.12,4,49
2021-11,50,4735.30,3755.50,576.00,403.80,94.71,75.11,5,45
2021-12,89,9169.85,7406.50,967.00,796.35,103.03,83.22,11,78
2022-01,137,15370.58,12245.90,1808.00,1316.68,112.19,89.39,12,125
2022-02,156,17580.21,13956.50,2123.00,1500.71,112.69,89.46,15,141
2022-03,114,12696.85,10093.50,1518.00,1085.35,111.38,88.54,12,102
2022-04,160,17042.51,13308.50,2303.00,1431.01,106.52,83.18,13,147
2022-05,156,19383.37,15786.00,1900.00,1697.37,124.25,101.19,32,124
2022-06,90,8867.49,6849.00,1282.00,736.49,98.53,76.10,6,84
2022-07,60,5848.04,4492.00,873.00,483.04,97.47,74.87,6,54
2022-08,34,3831.93,2994.00,516.00,321.93,112.70,88.06,4,30
2022-09,96,11408.38,9071.00,1362.00,975.38,118.84,94.49,12,84
2022-10,74,7584.72,5883.50,1076.00,625.22,102.50,79.51,7,67
2022-11,72,8455.58,6733.50,998.00,724.08,117.44,93.52,5,67
2022-12,65,8287.55,6645.00,928.00,714.55,127.50,102.23,3,62
2023-01,39,4194.07,3339.00,496.00,359.07,107.54,85.62,10,29
2023-02,167,18366.39,15097.00,1646.00,1623.39,109.98,90.40,58,109
2023-03,91,8603.91,6959.50,896.00,748.41,94.55,76.48,27,64
2023-04,91,11106.84,8954.00,1190.00,962.84,122.05,98.40,18,73
2023-05,178,21729.63,17624.50,2210.00,1895.13,122.08,99.01,46,132
2023-06,80,8285.11,6671.65,1080.00,533.46,103.56,83.40,14,66
2023-07,18,1598.53,1350.33,224.00,24.20,88.81,75.02,2,16
2023-08,78,8511.49,7543.49,968.00,0.00,109.12,96.71,14,64
2023-09,69,8150.19,7377.24,772.95,0.00,118.12,106.92,18,51
2023-10,56,6405.48,5565.48,840.00,0.00,114.38,99.38,0,56
2023-11,63,6941.94,6037.94,904.00,0.00,110.19,95.84,0,63
2023-12,54,6229.44,5421.44,808.00,0.00,115.36,100.40,0,54
2024-01,59,7718.45,6950.45,768.00,0.00,130.82,117.80,0,59
2024-02,129,16124.46,14480.46,1644.00,0.00,125.00,112.25,0,129
2024-03,67,7972.94,7020.94,952.00,0.00,119.00,104.79,0,67
2024-04,75,8968.36,7932.36,1036.00,0.00,119.58,105.76,0,75
2024-05,176,21925.53,19681.92,2276.00,0.00,124.58,111.83,0,176
2024-06,63,6906.30,6030.30,876.00,0.00,109.62,95.72,0,63
2024-07,43,5264.15,4646.42,636.00,0.00,122.42,108.06,0,43
2024-08,17,3134.94,2926.94,208.00,0.00,184.41,172.17,0,17
2024-09,69,8843.43,7859.43,984.00,0.00,128.17,113.90,0,69
2024-10,66,8336.70,7428.70,908.00,0.00,126.31,112.56,0,66
2024-11,55,6643.49,5851.49,792.00,0.00,120.79,106.39,0,55
2024-12,34,6145.58,5625.58,520.00,0.00,180.75,165.46,0,34
2025-01,61,7090.26,6202.26,888.00,0.00,116.23,101.68,0,61
2025-02,110,13713.18,12643.45,1088.00,0.00,124.67,114.94,0,110
2025-03,62,7908.38,7000.38,908.00,0.00,127.55,112.91,0,62
2025-04,67,8221.99,7261.99,960.00,0.00,122.72,108.39,0,67
2025-05,125,16363.67,14867.67,1496.00,0.00,130.91,118.94,0,125
2025-06,47,5435.83,4695.83,740.00,0.00,115.66,99.91,0,47
2025-07,55,6750.11,5978.11,772.00,0.00,122.73,108.69,0,55
2025-08,44,5022.97,4346.97,676.00,0.00,114.16,98.79,0,44
2025-09,68,9635.18,8671.18,964.00,0.00,141.69,127.52,0,68
2025-10,78,9448.13,8332.13,1116.00,0.00,121.13,106.82,0,78
2025-11,56,7813.99,7165.99,648.00,0.00,139.54,127.96,0,42
2025-12,56,9055.34,7594.27,800.00,661.07,161.70,135.61,0,56
2026-01,79,9900.51,7963.60,1100.00,836.91,125.32,100.81,0,79
2026-02,172,22115.86,18313.30,1868.00,1934.56,128.58,106.47,0,172
2026-03,83,12133.10,9863.60,1216.00,1053.50,146.18,118.84,0,83
2026-04,78,10152.01,8086.60,1196.00,869.41,130.15,103.67,0,78
2026-05,168,22521.12,18495.60,2044.00,1981.52,134.05,110.09,0,168
2026-06,45,5754.33,4598.85,668.00,487.48,127.87,102.20,0,45
2026-07,53,7257.98,5890.85,744.00,623.13,136.94,111.15,0,53
