Year,Paid Orders,Total,Subtotal,Shipping,Taxes,AOV Total,AOV Subtotal
2015,191,16670.12,13159.50,2293.00,1217.62,87.28,68.90
2016,372,32827.04,25963.00,4458.00,2430.04,88.24,69.79
2017,381,35617.72,28598.50,4436.00,2583.22,93.48,75.06
2018,418,41625.56,34183.00,4643.00,2987.81,99.58,81.78
2019,509,50314.88,40636.00,5798.00,3889.38,98.85,79.83
2020,1392,127430.85,102307.50,15076.00,10227.35,91.55,73.50
2021,1525,150198.81,119796.00,18410.00,12026.41,98.49,78.55
2022,1214,136357.21,108058.40,16687.00,11611.81,112.32,89.01
2023,984,110123.02,91941.57,12034.95,6146.50,111.91,93.44
2024,853,107984.33,96434.99,11600.00,0.00,126.59,113.05
2025,829,106459.03,94760.23,11056.00,661.07,128.42,114.31
2026,678,89834.91,73212.40,8836.00,7786.51,132.50,107.98
