Month,Paid Charges,Gross,Fees,Fee Rate %,Refunds On Paid,Net After Fees,Failed Attempts,Failed Amount,Refunded Charges,Refunded Amount
2015-05,13,1239.50,39.84,3.21,0.00,1199.66,0,0.00,0,0.00
2015-06,15,1236.75,40.33,3.26,0.00,1196.42,0,0.00,0,0.00
2015-07,27,2332.92,75.71,3.25,0.00,2257.21,0,0.00,0,0.00
2015-08,20,1623.09,53.03,3.27,0.00,1570.06,4,303.16,0,0.00
2015-09,28,2462.13,79.74,3.24,0.00,2382.39,4,332.72,0,0.00
2015-10,39,3488.64,112.83,3.23,0.00,3375.81,0,0.00,0,0.00
2015-11,18,1530.31,49.76,3.25,0.00,1480.55,2,148.18,0,0.00
2015-12,30,2750.28,88.72,3.23,0.00,2661.56,3,249.54,0,0.00
2016-01,23,2017.91,65.38,3.24,0.00,1952.53,1,72.23,0,0.00
2016-02,58,5047.60,163.35,3.24,12.00,4872.25,4,371.04,0,0.00
2016-03,32,2617.74,85.48,3.27,0.00,2532.26,2,166.36,0,0.00
2016-04,37,2995.81,98.00,3.27,0.00,2897.81,1,99.60,0,0.00
2016-05,54,4730.88,153.37,3.24,0.00,4577.51,10,666.49,0,0.00
2016-06,23,2063.93,66.76,3.23,0.00,1997.17,1,90.00,1,90.00
2016-07,22,1917.56,62.20,3.24,0.00,1855.36,6,553.80,0,0.00
2016-08,17,1578.75,50.88,3.22,0.00,1527.87,3,265.42,0,0.00
2016-09,27,2427.58,78.47,3.23,0.00,2349.11,0,0.00,0,0.00
2016-10,29,2906.93,93.00,3.20,0.00,2813.93,1,61.28,0,0.00
2016-11,33,3035.98,97.95,3.23,0.00,2938.03,3,348.61,1,67.28
2016-12,17,1486.37,48.20,3.24,0.00,1438.17,0,0.00,1,77.70
2017-01,32,3067.17,98.54,3.21,0.00,2968.63,1,389.78,1,80.23
2017-02,58,5661.07,181.31,3.20,6.00,5473.76,12,1227.03,1,99.60
2017-03,35,3142.22,101.57,3.23,0.00,3040.65,3,337.13,1,91.18
2017-04,18,1434.59,46.96,3.27,0.00,1387.63,2,156.46,0,0.00
2017-05,66,6169.28,198.61,3.22,0.00,5970.67,15,1260.94,2,192.68
2017-06,19,1864.10,59.73,3.20,0.00,1804.37,1,72.23,0,0.00
2017-07,17,1577.76,50.84,3.22,0.00,1526.92,1,143.40,0,0.00
2017-08,23,2014.71,65.30,3.24,0.00,1949.41,2,155.41,0,0.00
2017-09,29,2662.24,85.86,3.23,0.00,2576.38,3,244.59,1,78.23
2017-10,23,2061.47,66.63,3.23,0.00,1994.84,1,72.23,0,0.00
2017-11,36,3654.88,116.80,3.20,0.00,3538.08,2,198.16,0,0.00
2017-12,26,2408.36,77.65,3.22,0.00,2330.71,0,0.00,1,60.23
2018-01,25,2472.79,79.18,3.20,0.00,2393.61,2,270.90,0,0.00
2018-02,55,5320.69,170.77,3.21,0.00,5149.92,3,282.39,0,0.00
2018-03,28,2713.26,87.09,3.21,0.00,2626.17,0,0.00,1,94.65
2018-04,33,3060.78,98.69,3.22,0.00,2962.09,2,162.70,2,330.00
2018-05,77,7498.07,240.56,3.21,0.00,7257.51,2,144.49,0,0.00
2018-06,28,2625.71,84.54,3.22,0.00,2541.17,0,0.00,0,0.00
2018-07,24,2357.93,75.56,3.20,0.00,2282.37,0,0.00,1,72.00
2018-08,30,3031.90,96.90,3.20,0.00,2935.00,0,0.00,0,0.00
2018-09,29,3020.86,96.29,3.19,0.00,2924.57,2,188.25,0,0.00
2018-10,35,3690.03,117.50,3.18,0.00,3572.53,1,132.45,0,0.00
2018-11,29,3308.63,104.65,3.16,0.00,3203.98,2,182.70,1,83.70
2018-12,25,2524.91,80.73,3.20,0.00,2444.18,0,0.00,0,0.00
2019-01,34,3471.22,110.85,3.19,0.00,3360.37,2,483.90,1,110.55
2019-02,62,6129.69,196.40,3.20,0.00,5933.29,0,0.00,1,94.65
2019-03,29,2863.78,91.74,3.20,0.00,2772.04,0,0.00,1,90.70
2019-04,35,3329.81,107.05,3.21,0.00,3222.76,2,259.00,0,0.00
2019-05,102,9641.59,325.18,3.37,0.00,9316.41,3,347.03,1,142.35
2019-06,35,3812.77,164.93,4.33,0.00,3647.84,0,0.00,0,0.00
2019-07,32,3250.77,201.24,6.19,0.00,3049.53,3,327.36,0,0.00
2019-08,37,3808.12,235.62,6.19,0.00,3572.50,0,0.00,2,161.19
2019-09,31,2941.96,182.74,6.21,0.00,2759.22,1,99.80,0,0.00
2019-10,44,4293.17,266.30,6.20,0.00,4026.87,0,0.00,3,456.08
2019-11,39,3982.61,246.48,6.19,0.00,3736.13,1,88.83,0,0.00
2019-12,29,2789.39,173.11,6.21,0.00,2616.28,1,88.83,0,0.00
2020-01,36,3511.49,217.78,6.20,0.00,3293.71,7,705.65,0,0.00
2020-02,96,9813.95,607.44,6.19,0.00,9206.51,4,311.40,1,77.85
2020-03,64,5269.29,329.71,6.26,0.00,4939.58,5,504.37,0,0.00
2020-04,79,7283.62,453.62,6.23,0.00,6830.00,3,222.58,3,210.73
2020-05,327,30967.37,1944.95,6.28,0.00,29022.42,18,1557.81,5,509.98
2020-06,98,8045.06,504.15,6.27,0.00,7540.91,5,363.30,4,434.65
2020-07,90,8122.37,505.99,6.23,0.00,7616.38,4,301.58,6,371.68
2020-08,107,9262.73,579.28,6.25,0.00,8683.45,5,428.37,1,44.10
2020-09,125,11755.16,732.87,6.23,0.00,11022.29,0,0.00,2,163.33
2020-10,133,11627.43,728.98,6.27,9.50,10888.95,3,256.01,1,102.00
2020-11,108,9343.18,585.04,6.26,0.00,8758.14,1,100.20,0,0.00
2020-12,133,12902.76,802.75,6.22,0.00,12100.01,5,466.73,2,137.46
2021-01,164,15178.91,945.93,6.23,0.00,14232.98,0,0.00,1,147.74
2021-02,222,21331.77,1326.68,6.22,0.00,20005.09,1,58.31,4,249.35
2021-03,153,13994.90,876.49,6.26,0.00,13118.41,5,401.80,0,0.00
2021-04,165,16275.06,1014.71,6.23,0.00,15260.35,8,633.37,3,283.88
2021-05,173,19352.52,1192.59,6.16,20.00,18139.93,5,498.62,8,671.81
2021-06,84,8456.05,525.47,6.21,0.00,7930.58,2,179.02,1,115.00
2021-07,100,8907.34,556.56,6.25,0.00,8350.78,6,514.85,0,0.00
2021-08,131,12269.64,765.43,6.24,0.00,11504.21,5,270.95,0,0.00
2021-09,143,14672.73,910.51,6.21,0.00,13762.22,3,309.56,1,61.84
2021-10,53,5984.06,371.20,6.20,0.00,5612.86,4,300.00,5,519.62
2021-11,50,4735.30,293.74,6.20,12.00,4429.56,1,75.00,6,508.54
2021-12,90,9314.75,577.03,6.19,0.00,8737.72,4,330.42,0,0.00
2022-01,135,15110.00,933.79,6.18,0.00,14176.21,1,71.04,1,63.84
2022-02,155,17510.84,981.87,5.61,0.00,16528.97,3,302.27,2,238.43
2022-03,113,12599.77,400.86,3.18,0.00,12198.91,0,0.00,0,0.00
2022-04,163,17355.86,555.05,3.20,0.00,16800.81,5,794.80,2,152.44
2022-05,157,19497.05,617.56,3.17,0.00,18879.49,5,473.94,5,719.90
2022-06,88,8739.81,283.35,3.24,0.00,8456.46,2,155.37,0,0.00
2022-07,62,5975.72,194.81,3.26,0.00,5780.91,1,91.53,1,132.90
2022-08,34,3831.93,121.98,3.18,0.00,3709.95,1,63.84,1,90.00
2022-09,96,11408.38,361.82,3.17,0.00,11046.56,1,412.70,0,0.00
2022-10,74,7584.72,244.22,3.22,0.00,7340.50,1,109.53,0,0.00
2022-11,71,8352.98,264.22,3.16,0.00,8088.76,0,0.00,0,0.00
2022-12,66,8390.15,264.76,3.16,0.00,8125.39,0,0.00,0,0.00
2023-01,39,4194.07,133.32,3.18,0.00,4060.75,0,0.00,3,194.14
2023-02,166,18263.79,600.05,3.29,0.00,17663.74,4,421.48,1,126.60
2023-03,92,8706.51,285.14,3.28,0.00,8421.37,0,0.00,0,0.00
2023-04,91,11106.84,350.32,3.15,0.00,10756.52,1,159.83,0,0.00
2023-05,175,21457.97,679.22,3.17,0.00,20778.75,4,571.00,0,0.00
2023-06,83,8556.77,275.49,3.22,0.00,8281.28,3,407.28,0,0.00
2023-07,16,1426.56,47.61,3.34,0.00,1378.95,0,0.00,5,540.70
2023-08,77,8231.68,264.97,3.22,0.00,7966.71,2,194.12,1,60.91
2023-09,72,8601.97,274.94,3.20,0.00,8327.03,0,0.00,2,227.03
2023-10,56,6405.48,206.10,3.22,0.00,6199.38,0,0.00,0,0.00
2023-11,63,6941.94,222.82,3.21,0.00,6719.12,0,0.00,0,0.00
2023-12,54,6229.44,198.32,3.18,0.00,6031.12,1,99.06,1,76.91
2024-01,58,7569.55,236.93,3.13,0.00,7332.62,1,159.98,9,1061.68
2024-02,130,16273.36,516.05,3.17,0.00,15757.31,2,226.42,1,82.45
2024-03,67,7972.94,254.93,3.20,0.00,7718.01,4,385.17,0,0.00
2024-04,73,8775.77,279.87,3.19,0.00,8495.90,7,1374.55,0,0.00
2024-05,178,22118.12,702.26,3.18,0.00,21415.86,3,363.63,0,0.00
2024-06,63,6906.30,224.02,3.24,0.00,6682.28,0,0.00,2,88.45
2024-07,41,4994.04,158.80,3.18,0.00,4835.24,1,171.05,0,0.00
2024-08,19,3405.05,104.46,3.07,0.00,3300.59,0,0.00,3,259.04
2024-09,69,8843.43,280.28,3.17,0.00,8563.15,0,0.00,2,497.15
2024-10,66,8336.70,261.57,3.14,0.00,8075.13,2,265.80,0,0.00
2024-11,55,6643.49,216.31,3.26,0.00,6427.18,2,220.28,4,419.01
2024-12,34,6145.58,190.23,3.10,0.00,5955.35,3,375.63,2,215.35
2025-01,61,7090.26,225.74,3.18,0.00,6864.52,0,0.00,0,0.00
2025-02,110,13713.18,434.63,3.17,0.00,13278.55,2,204.89,1,71.99
2025-03,61,7820.39,252.92,3.23,0.00,7567.47,3,331.38,0,0.00
