Year,Paid Charges,Gross,Fees,Fee Rate %,Failed Attempts,Failed Amount,AOV Gross
2015,190,16663.62,539.96,3.24,13,1033.60,87.70
2016,372,32827.04,1063.04,3.24,32,2694.83,88.24
2017,382,35717.85,1149.80,3.22,43,4257.36,93.50
2018,418,41625.56,1332.46,3.20,14,1363.88,99.58
2019,509,50314.88,2301.64,4.57,13,1694.75,98.85
2020,1396,127904.41,7992.56,6.25,60,5218.00,91.62
2021,1528,150473.03,9356.34,6.22,44,3571.90,98.48
2022,1214,136357.21,5224.29,3.83,20,2475.02,112.32
2023,984,110123.02,3538.30,3.21,15,1852.77,111.91
2024,853,107984.33,3425.71,3.17,25,3542.51,126.59
2025,829,106459.03,3382.16,3.18,17,2133.60,128.42
2026,680,90093.95,2862.49,3.18,21,2548.57,132.49
