week,revenue,cogs_total,cogs_flowers,strict_gp_pct,rolling_cos_rate_pct,flowers_cos_rate_pct
2024-W01,1849.25,5854.99,4962.07,-216.6,316.6,268.3
2024-W02,1847.72,332.74,124.2,82.0,167.4,137.6
2024-W03,1524.01,1799.07,1614.68,-18.0,153.0,128.3
2024-W04,4970.69,3228.54,3119.06,35.0,110.0,96.4
2024-W05,5602.53,2972.91,2295.1,46.9,59.8,51.3
2024-W06,8247.63,5987.56,5842.56,27.4,68.8,63.3
2024-W07,23157.72,6227.28,5902.64,73.1,43.9,40.9
2024-W08,2942.09,5478.44,5185.63,-86.2,51.7,48.1
2024-W09,4471.06,3205.74,2897.12,28.3,53.8,51.1
2024-W10,3970.45,6200.68,5209.0,-56.2,61.1,55.6
2024-W11,5809.63,4617.0,4184.42,20.5,113.4,101.6
2024-W12,4491.01,2257.73,2257.73,49.7,86.9,77.6
2024-W13,6237.68,3112.34,3092.46,50.1,78.9,71.9
2024-W14,5940.09,5413.86,5189.2,8.9,68.5,65.5
2024-W15,3132.66,3789.94,3070.18,-21.0,73.6,68.7
2024-W16,10958.06,4573.84,4499.44,58.3,64.3,60.3
2024-W17,4992.4,2645.78,2533.98,47.0,65.6,61.1
2024-W18,6210.31,5571.08,4465.73,10.3,65.6,57.6
2024-W19,13191.42,8690.55,8589.75,34.1,60.8,56.8
2024-W20,17912.05,3490.57,3010.62,80.5,48.2,44.0
2024-W21,5623.33,6237.33,6112.76,-10.9,55.9,51.7
2024-W22,6475.9,2663.48,2612.87,58.9,48.8,47.0
2024-W23,9533.63,6356.61,5327.62,33.3,47.4,43.2
2024-W24,7053.82,2821.04,2665.05,60.0,63.0,58.3
2024-W25,4042.16,2007.26,2007.26,50.3,51.1,46.5
2024-W26,4122.04,1808.37,1765.21,56.1,52.5,47.5
2024-W27,1998.14,1202.83,1180.85,39.8,45.5,44.3
2024-W28,2776.94,3765.21,3765.21,-35.6,67.9,67.4
2024-W29,4424.37,3144.47,2698.49,28.9,74.5,70.6
2024-W30,4982.01,6119.05,2271.92,-22.8,100.4,69.9
2024-W31,4605.22,1916.11,1830.33,58.4,89.0,62.9
2024-W32,4231.97,3587.84,3132.21,15.2,80.9,54.4
