Month,Total Revenue,Gross Margin %,Net Ops Margin %,Total Net Margin %,Flowers/COGS % of Rev,Square Revenue,Stripe Revenue
Jan 2023,8331.53,-16.262439191841114,-79.71164960097364,-86.82738944707634,91.84711571584091,4086.65,3704.88
Feb 2023,40691.74,54.78482856717359,45.22409216219312,43.469215128180814,42.15295290887045,20845.74,17754.32
Mar 2023,24582.87,15.353130045434085,2.2798395793493684,-1.2813800829601996,66.89031833955922,15242.52,8416.130000000001
Apr 2023,44037.82,59.574929004205934,52.69445671924723,51.57008226111102,35.58725204835299,33540.53,9303.41
May 2023,49069.24,39.224634414553805,17.14426390137691,15.961200947885068,51.18255346934251,23350.83,22016.12
Jun 2023,30485.3,38.39834280784509,18.566719041636453,16.292573797863227,53.35883196163397,16164.23,9132.52
Jul 2023,7910.73,-31.087649306701152,-51.15381260642191,-56.45433480854486,82.65659427132516,4927.809999999999,1523.5
Aug 2023,27612.06,28.16551897975016,18.408333170361075,14.327688698344135,67.67434229825663,12339.37,7687.55
Sep 2023,23758.86,15.62924315392236,-8.349643038428619,-10.51616112894306,77.69131178852857,13868.25,8266.42
Oct 2023,19229.5,-11.397592241087896,-21.46831690891597,-33.45131178657789,105.80680724927845,12474.7,6154.799999999999
Nov 2023,39598.79,54.05086872603936,37.78426057967933,37.34573707934005,42.33912197822206,30515.59,6937.2
Dec 2023,18428.47,26.52330877169944,12.093082062699725,11.047742975949712,66.04492939457262,9879.78,6367.77
Jan 2024,13541.62,10.699089178399644,-23.566308905433743,-49.967507580333795,76.73941522506169,7041.02,6512.35
Feb 2024,40861.46,47.18781463021635,36.89329749842516,24.359163867370373,47.99126120309945,23595.41,16276.05
Mar 2024,20718.39,25.805721390513458,-4.374422916066352,-8.01119198933894,57.40754952484243,11128.42,7509.51
Apr 2024,26981.0,37.914161817575334,6.228049368073826,-6.624735925280757,55.21770875801491,19463.09,7517.910000000001
May 2024,47455.22,57.03277742680363,25.901597337447807,12.712215853176954,38.38336435907367,24017.85,21786.06
Jun 2024,24751.65,60.712841366131144,27.90880607959469,13.558732448139812,31.913670401771192,14200.59,7512.64
Jul 2024,17218.7,22.050677461132384,-14.038632417081423,-30.089379569886216,46.68221178137722,10897.16,4951.54
Aug 2024,8158.869999999999,32.72683594664456,-8.104431128330289,-18.602208394054582,52.6330239359127,4526.4,3632.47
Sep 2024,19632.69,28.190329496365496,-5.743329110784115,-31.64843941405891,62.255452513129896,11436.27,6944.78
Oct 2024,22230.68,36.557496216939825,12.607216693326517,11.09052894468365,55.412744909287525,11768.85,9351.83
Nov 2024,21896.64,40.460819559530584,3.4293845996463306,-9.788807780554464,50.924525406637734,10773.22,6447.34
Dec 2024,19082.64,48.16922606096431,17.888300570570944,-103.08924760934546,36.51481136781913,12132.81,6259.83
Jan 2025,22014.11,32.04126807761023,8.003639483949167,-10.862669442462119,56.147988721778894,11524.19,6489.92
Feb 2025,29594.65,44.07722341707031,6.865430069286169,-14.225307614720903,51.80213315582377,16430.21,13164.44
Mar 2025,26770.91,51.54837844511076,32.29139390480189,18.468703529315967,43.6376649131464,11141.17,7717.74
Apr 2025,20246.85,38.32280083074652,9.093957825538304,2.0654077053961566,51.858437238385235,13718.29,6528.56
May 2025,39878.37,37.50005328703254,18.88986435503757,2.503161488295526,58.27630367038572,24806.62,16381.75
Jun 2025,21178.19,28.535394195632392,2.4372243331465056,-3.7218478066350342,53.34332159641594,12975.59,5818.3
Jul 2025,24356.7,51.66040555576083,33.025040337976804,10.385643375334089,43.28172535688332,10106.38,6910.32
Aug 2025,20719.69,15.529141603952587,-3.82341627698096,-25.366209629584212,72.58042953345345,11710.86,5168.83
Sep 2025,22551.9,38.83127363991505,19.361118131953415,2.873505114868381,55.0413047237705,11126.11,7925.79
Oct 2025,27100.16,31.288265456735303,11.433474931513311,-0.23265545295674106,63.179811484507844,13769.2,9959.96
Nov 2025,21225.92,36.21223485248225,15.181674104114212,-0.9317852889297648,53.98555162744418,12645.15,7995.77
Dec 2025,23477.46,45.43600542818516,27.01220660156593,6.487669449761602,50.988096668038196,12026.18,8761.28
Jan 2026,19631.15,13.290408356107516,-3.1158643278666758,-16.652055534189277,72.53966272989611,11934.11,7697.04
Feb 2026,44643.78,41.39848821045171,32.37940425295528,26.523941297085507,52.72053576108474,20458.94,22587.09
Mar 2026,25031.6,22.141932597197155,6.560427619488979,-4.122309400917225,64.84140046980616,11390.85,11790.45
Apr 2026,19909.89,5.131771195119612,-13.802888916011089,-27.34424951619522,87.53267848290473,10714.58,9195.31
May 2026,45339.42,45.95420497218535,25.66378220100742,19.757045855460873,50.48370711403013,22710.84,21728.58
Jun 2026,14582.33,10.102363614045217,-31.812748717111738,-50.171611806892315,80.83022397655245,7982.94,6599.39
Jul 2026,15021.67,24.741057419048627,7.053010750469168,-11.20933957409527,68.62193085056455,8251.12,6200.55
