product,revenue,qty,weeks_active,allocated_cogs_rolling,allocated_cogs_strict,allocated_flowers_cogs,gross_margin_pct_rolling,gross_margin_pct_strict,flowers_only_margin_pct,avg_selling_price,is_hero
__UNATTRIBUTED_REVENUE__,402373.76,0,108,276155.11,252177.41,251822.41,31.4,37.3,37.4,,False
__POS_UNATTRIBUTED__,112227.75,0,28,63914.88,68306.92,58713.8,43.0,39.1,47.7,,False
Touch of Honey,41919.77,615,123,29181.88,30599.21,26565.98,30.4,27.0,36.6,68.16,True
Love Poem,38287.1,422,117,26398.56,28519.52,24111.79,31.1,25.5,37.0,90.73,True
To the Moon and Back,36314.88,358,102,24060.63,25119.37,21981.12,33.7,30.8,39.5,101.44,True
TLC,31012.62,207,80,20926.32,22250.46,19202.26,32.5,28.3,38.1,149.82,True
XoXo,24499.34,208,81,16303.81,17095.88,14836.27,33.5,30.2,39.4,117.79,True
Deep in the Woods,23753.1,183,81,16520.48,17496.17,15125.38,30.4,26.3,36.3,129.8,True
The Sympathy,20785.32,188,97,14233.27,16048.73,12890.23,31.5,22.8,38.0,110.56,True
__SUBSCRIPTION__,13407.02,22,18,12035.96,11815.83,10535.12,10.2,11.9,21.4,609.41,False
Darling,12723.37,67,39,7987.88,9026.45,7354.93,37.2,29.1,42.2,189.9,True
Great Expectations,7719.28,25,25,5608.44,5657.39,5111.66,27.3,26.7,33.8,308.77,True
Potted Orchids,7251.98,54,46,5805.94,5472.42,5239.16,19.9,24.5,27.8,134.3,False
Succulent Gardens,2651.07,38,29,1877.05,1972.73,1722.26,29.2,25.6,35.0,69.76,False
Blooms & Gratitude: A Thanksgiving Floral Workshop,2520.0,21,3,1892.43,1887.27,1760.78,24.9,25.1,30.1,120.0,False
You're My Every Week!!,800.0,2,2,506.21,582.49,493.01,36.7,27.2,38.4,400.0,False
Flying Bird Botanicals Tea,231.0,22,15,166.16,176.71,149.0,28.1,23.5,35.5,10.5,False
Maison Bouche Chocolate,167.5,27,15,112.66,134.99,104.69,32.7,19.4,37.5,6.2,False
